 time            i(Vmeas)        v(Vout)        
 0.00000000e+00  1.00000000e-05  1.80000001e+00 
 1.00000000e-11  1.00000000e-05  1.79999999e+00 
 2.00000000e-11  1.00000000e-05  1.79999999e+00 
 4.00000000e-11  1.00000000e-05  1.79999998e+00 
 8.00000000e-11  1.00000000e-05  1.79999999e+00 
 1.60000000e-10  1.00000000e-05  1.79999999e+00 
 3.20000000e-10  1.00000000e-05  1.79999999e+00 
 6.40000000e-10  1.00000000e-05  1.79999999e+00 
 1.28000000e-09  1.00000000e-05  1.79999999e+00 
 2.28000000e-09  1.00000000e-05  1.79999999e+00 
 3.28000000e-09  1.00000000e-05  1.79999999e+00 
 4.28000000e-09  1.00000000e-05  1.79999998e+00 
 5.28000000e-09  1.00000000e-05  1.79999999e+00 
 6.28000000e-09  1.00000000e-05  1.80000009e+00 
 7.28000000e-09  1.00000000e-05  1.80000021e+00 
 8.28000000e-09  1.00000000e-05  1.79999995e+00 
 9.28000000e-09  1.00000000e-05  1.79999863e+00 
 1.02800000e-08  1.00000000e-05  1.79999715e+00 
 1.12800000e-08  1.00000000e-05  1.80000133e+00 
 1.22800000e-08  1.00000000e-05  1.80002019e+00 
 1.32800000e-08  1.00000000e-05  1.80004226e+00 
 1.42800000e-08  1.00000000e-05  1.79995661e+00 
 1.52800000e-08  1.00000000e-05  1.79960985e+00 
 1.62800000e-08  1.00000000e-05  1.80029890e+00 
 1.72800000e-08  1.00000000e-05  1.79965743e+00 
 1.80479636e-08  1.00000000e-05  1.88486809e-02 
 1.86020625e-08  1.00000000e-05 -1.24730694e-02 
 1.88400390e-08  1.00000000e-05  1.09302830e-02 
 1.89688047e-08  1.00000000e-05 -7.96617073e-03 
 1.91293957e-08  1.00000000e-05  7.18692814e-03 
 1.94336634e-08  1.00000000e-05 -6.79577888e-03 
 1.97640387e-08  1.00000000e-05  6.57806234e-03 
 2.04247891e-08  1.00000000e-05 -6.42064473e-03 
 2.14247891e-08  1.00000000e-05  6.37887002e-03 
 2.24247891e-08  1.00000000e-05 -6.27349301e-03 
 2.34247891e-08  1.00000000e-05  6.23189008e-03 
 2.44247891e-08  1.00000000e-05 -6.13424520e-03 
 2.54247891e-08  1.00000000e-05  6.09715953e-03 
 2.64247891e-08  1.00000000e-05 -6.00146084e-03 
 2.74247891e-08  1.00000000e-05  5.96055987e-03 
 2.84247891e-08  1.00000000e-05 -5.87428918e-03 
 2.94247891e-08  1.00000000e-05  5.83382374e-03 
 2.95497891e-08  1.00000000e-05  1.36550094e-04 
 2.97997891e-08  1.00000000e-05 -1.25567087e-04 
 3.01022793e-08  1.00000000e-05  1.34024532e-04 
 3.03880366e-08  1.00000000e-05 -1.00288020e-04 
 3.08138176e-08  1.00000000e-05  1.14530346e-04 
 3.14169791e-08  1.00000000e-05 -1.04049277e-04 
 3.20167023e-08  1.00000000e-05 -1.39227275e-02 
 3.26305835e-08  1.00000000e-05  1.74626371e+00 
 3.31402732e-08  1.00000000e-05  1.84367175e+00 
 3.36751125e-08  1.00000000e-05  1.75829399e+00 
 3.43459457e-08  1.00000000e-05  1.83609318e+00 
 3.49732174e-08  1.00000000e-05  1.76538116e+00 
 3.53653443e-08  1.00000000e-05  1.91171243e+00 
 3.56950993e-08  1.00000000e-05  2.31371955e-02 
 3.59427671e-08  1.00000000e-05 -1.61043200e-02 
 3.60928065e-08  1.00000000e-05  1.40469264e-02 
 3.62553970e-08  1.00000000e-05 -1.22447621e-02 
 3.64284746e-08  1.00000000e-05  1.14841534e-02 
 3.66360152e-08  1.00000000e-05 -1.07564028e-02 
 3.69578620e-08  1.00000000e-05  1.04736312e-02 
 3.73417361e-08  1.00000000e-05 -1.01199458e-02 
 3.79945281e-08  1.00000000e-05  1.00201203e-02 
 3.89945281e-08  1.00000000e-05 -9.85747723e-03 
 3.99945281e-08  1.00000000e-05  9.81264389e-03 
 4.09945281e-08  1.00000000e-05 -9.65682185e-03 
 4.19945281e-08  1.00000000e-05  9.61134627e-03 
 4.29945281e-08  1.00000000e-05 -9.46153824e-03 
 4.39945281e-08  1.00000000e-05  9.41562580e-03 
 4.49945281e-08  1.00000000e-05 -9.27118326e-03 
 4.59945281e-08  1.00000000e-05  9.22499182e-03 
 4.69945281e-08  1.00000000e-05 -9.08540526e-03 
 4.79945281e-08  1.00000000e-05  9.03905647e-03 
 4.89945281e-08  1.00000000e-05 -8.90392088e-03 
 4.99945281e-08  1.00000000e-05  8.85750987e-03 
 5.09945281e-08  1.00000000e-05 -8.72649891e-03 
 5.19945281e-08  1.00000000e-05  8.68010121e-03 
 5.29945281e-08  1.00000000e-05 -8.55294801e-03 
 5.39945281e-08  1.00000000e-05  8.50662468e-03 
 5.49945281e-08  1.00000000e-05 -8.38310803e-03 
 5.59945281e-08  1.00000000e-05  8.33691078e-03 
 5.69945281e-08  1.00000000e-05 -8.21689778e-03 
 5.79945281e-08  1.00000000e-05  8.16635481e-03 
 5.87810851e-08  1.00000000e-05 -8.00243455e-03 
 5.94529661e-08  1.00000000e-05  9.70016743e-03 
 6.02077597e-08  1.00000000e-05  1.71342849e+00 
 6.07856404e-08  1.00000000e-05  1.86909389e+00 
 6.14219866e-08  1.00000000e-05  1.73041129e+00 
 6.20295455e-08  1.00000000e-05  1.85784157e+00 
 6.25192043e-08  1.00000000e-05  1.74435908e+00 
 6.30401178e-08  1.00000000e-05  4.46028589e-02 
 6.33436554e-08  1.00000000e-05 -2.51014578e-02 
 6.36415954e-08  1.00000000e-05  2.48802101e-02 
 6.37769929e-08  1.00000000e-05 -1.98193058e-02 
 6.39722346e-08  1.00000000e-05  1.88459232e-02 
 6.41552875e-08  1.00000000e-05 -1.73198734e-02 
 6.45209091e-08  1.00000000e-05  1.70052605e-02 
 6.49639659e-08  1.00000000e-05 -1.64032998e-02 
 6.57657190e-08  1.00000000e-05  1.63562174e-02 
 6.67657190e-08  1.00000000e-05 -1.60190104e-02 
 6.77657190e-08  1.00000000e-05  1.60074041e-02 
 6.87657190e-08  1.00000000e-05 -1.56884307e-02 
 6.97657190e-08  1.00000000e-05  1.56709233e-02 
 7.07657190e-08  1.00000000e-05 -1.53675331e-02 
 7.17657190e-08  1.00000000e-05  1.53453109e-02 
 7.27657190e-08  1.00000000e-05 -1.50554021e-02 
 7.37657190e-08  1.00000000e-05  1.50293462e-02 
 7.47657190e-08  1.00000000e-05 -1.47512958e-02 
 7.57657190e-08  1.00000000e-05  1.47220809e-02 
 7.67657190e-08  1.00000000e-05 -1.44546234e-02 
 7.77657190e-08  1.00000000e-05  1.44227715e-02 
 7.87657190e-08  1.00000000e-05 -1.41649093e-02 
 7.97657190e-08  1.00000000e-05  1.41308309e-02 
 8.07657190e-08  1.00000000e-05 -1.38817479e-02 
 8.17657190e-08  1.00000000e-05  1.38458543e-02 
 8.27657190e-08  1.00000000e-05 -1.35740074e-02 
 8.35952361e-08  1.00000000e-05  1.34738313e-02 
 8.44584769e-08  1.00000000e-05  1.63167175e+00 
 8.50987553e-08  1.00000000e-05  1.89914585e+00 
 8.56874140e-08  1.00000000e-05  1.69381661e+00 
 8.65182293e-08  1.00000000e-05  1.88427596e+00 
 8.71754828e-08  1.00000000e-05  1.71189205e+00 
 8.76712100e-08  1.00000000e-05  1.89017896e+00 
 8.80995615e-08  1.00000000e-05  1.25662823e-02 
 8.83356446e-08  1.00000000e-05 -6.80778688e-03 
 8.84723755e-08  1.00000000e-05  4.46696366e-03 
 8.86222169e-08  1.00000000e-05 -3.40518898e-03 
 8.88071024e-08  1.00000000e-05  3.05475276e-03 
 8.90131301e-08  1.00000000e-05 -2.81081866e-03 
 8.94068149e-08  1.00000000e-05  2.72503246e-03 
 8.97937980e-08  1.00000000e-05 -2.63145449e-03 
 9.05677641e-08  1.00000000e-05  2.59718073e-03 
 9.15677641e-08  1.00000000e-05 -2.56173456e-03 
 9.25677641e-08  1.00000000e-05  2.53657859e-03 
 9.35677641e-08  1.00000000e-05 -2.50459386e-03 
 9.45677641e-08  1.00000000e-05  2.48338874e-03 
 9.55677641e-08  1.00000000e-05 -2.45021505e-03 
 9.65677641e-08  1.00000000e-05  2.42795078e-03 
 9.75677641e-08  1.00000000e-05 -2.39822102e-03 
 9.85677641e-08  1.00000000e-05  2.37664715e-03 
 9.95677641e-08  1.00000000e-05 -2.34821026e-03 
 1.00567764e-07  1.00000000e-05  2.32724333e-03 
 1.01567764e-07  1.00000000e-05 -2.29991036e-03 
 1.02567764e-07  1.00000000e-05  2.27948505e-03 
 1.03567764e-07  1.00000000e-05 -2.25311120e-03 
 1.04567764e-07  1.00000000e-05  2.23317610e-03 
 1.05567764e-07  1.00000000e-05 -2.20765032e-03 
 1.06567764e-07  1.00000000e-05  2.18816170e-03 
 1.07567764e-07  1.00000000e-05 -2.16343811e-03 
 1.08567764e-07  1.00000000e-05  2.15311933e-03 
 1.09384137e-07  1.00000000e-05 -2.09926349e-03 
 1.10237142e-07  1.00000000e-05  1.72809669e+00 
 1.10844897e-07  1.00000000e-05  1.84041653e+00 
 1.11441651e-07  1.00000000e-05  1.76075016e+00 
 1.12197411e-07  1.00000000e-05  1.83254636e+00 
 1.12831768e-07  1.00000000e-05  1.76881750e+00 
 1.13313275e-07  1.00000000e-05  1.82167388e+00 
 1.13735655e-07  1.00000000e-05  2.95827232e-02 
 1.14011552e-07  1.00000000e-05 -1.72356377e-02 
 1.14168837e-07  1.00000000e-05  1.45955852e-02 
 1.14344668e-07  1.00000000e-05 -1.22052612e-02 
 1.14534685e-07  1.00000000e-05  1.13964888e-02 
 1.14734923e-07  1.00000000e-05 -1.05328260e-02 
 1.15135399e-07  1.00000000e-05  1.03143710e-02 
 1.15518213e-07  1.00000000e-05 -9.93535730e-03 
 1.16283841e-07  1.00000000e-05  9.86138805e-03 
 1.17283841e-07  1.00000000e-05 -9.69000541e-03 
 1.18283841e-07  1.00000000e-05  9.64744174e-03 
 1.19283841e-07  1.00000000e-05 -9.48624437e-03 
 1.20283841e-07  1.00000000e-05  9.44238690e-03 
 1.21283841e-07  1.00000000e-05 -9.28965132e-03 
 1.22283841e-07  1.00000000e-05  9.24491370e-03 
 1.23283841e-07  1.00000000e-05 -9.09933537e-03 
 1.24283841e-07  1.00000000e-05  9.05401482e-03 
 1.25283841e-07  1.00000000e-05 -8.91459723e-03 
 1.26283841e-07  1.00000000e-05  8.86891405e-03 
 1.27283841e-07  1.00000000e-05 -8.73489063e-03 
 1.28283841e-07  1.00000000e-05  8.68900959e-03 
 1.29283841e-07  1.00000000e-05 -8.55978602e-03 
 1.30283841e-07  1.00000000e-05  8.51383256e-03 
 1.31283841e-07  1.00000000e-05 -8.38898533e-03 
 1.32283841e-07  1.00000000e-05  8.34302368e-03 
 1.33283841e-07  1.00000000e-05 -8.19132180e-03 
 1.34283841e-07  1.00000000e-05  8.15131615e-03 
 1.35283841e-07  1.00000000e-05  1.69225920e+00 
 1.35842722e-07  1.00000000e-05  1.87669055e+00 
 1.36484620e-07  1.00000000e-05  1.72013436e+00 
 1.37296431e-07  1.00000000e-05  1.86468041e+00 
 1.37962334e-07  1.00000000e-05  7.63751543e-01 
 1.38586211e-07  1.00000000e-05  1.58714963e-02 
 1.38791488e-07  1.00000000e-05 -1.10164659e-02 
 1.38922415e-07  1.00000000e-05  9.12388558e-03 
 1.39085899e-07  1.00000000e-05 -8.05028680e-03 
 1.39301079e-07  1.00000000e-05  7.62568804e-03 
 1.39531097e-07  1.00000000e-05 -7.19411670e-03 
 1.39938616e-07  1.00000000e-05  7.03666978e-03 
 1.40403408e-07  1.00000000e-05 -6.84258661e-03 
 1.41332991e-07  1.00000000e-05  6.79436685e-03 
 1.42332991e-07  1.00000000e-05 -6.69459974e-03 
 1.43332991e-07  1.00000000e-05  6.65208351e-03 
 1.44332991e-07  1.00000000e-05 -6.55690371e-03 
 1.45332991e-07  1.00000000e-05  6.51467534e-03 
 1.46332991e-07  1.00000000e-05 -6.42343515e-03 
 1.47332991e-07  1.00000000e-05  6.38154859e-03 
 1.48332991e-07  1.00000000e-05 -6.29374641e-03 
 1.49332991e-07  1.00000000e-05  6.25223909e-03 
 1.50332991e-07  1.00000000e-05 -6.16748678e-03 
 1.51332991e-07  1.00000000e-05  6.12638500e-03 
 1.52332991e-07  1.00000000e-05 -6.04437948e-03 
 1.53332991e-07  1.00000000e-05  6.00370182e-03 
 1.54332991e-07  1.00000000e-05 -5.92420396e-03 
 1.55332991e-07  1.00000000e-05  5.88396368e-03 
 1.56332991e-07  1.00000000e-05 -5.80678290e-03 
 1.57332991e-07  1.00000000e-05  5.76698935e-03 
 1.58332991e-07  1.00000000e-05 -5.69201295e-03 
 1.59332991e-07  1.00000000e-05  5.65387332e-03 
 1.60166554e-07  1.00000000e-05 -5.54283830e-03 
 1.61034612e-07  1.00000000e-05  1.75156105e+00 
 1.61638604e-07  1.00000000e-05  1.82713867e+00 
 1.62303791e-07  1.00000000e-05  1.77423183e+00 
 1.63215200e-07  1.00000000e-05  1.82174364e+00 
 1.63934068e-07  1.00000000e-05  1.77953285e+00 
 1.64342323e-07  1.00000000e-05  1.86242795e+00 
 1.64678643e-07  1.00000000e-05  2.72955461e-02 
 1.64913663e-07  1.00000000e-05 -2.03220265e-02 
 1.65039010e-07  1.00000000e-05  1.78625973e-02 
 1.65215282e-07  1.00000000e-05 -1.60832266e-02 
 1.65389862e-07  1.00000000e-05  1.52207665e-02 
 1.65619696e-07  1.00000000e-05 -1.43568323e-02 
 1.65931718e-07  1.00000000e-05  1.40017404e-02 
 1.66372190e-07  1.00000000e-05 -1.35620574e-02 
 1.67032220e-07  1.00000000e-05  1.34565509e-02 
