 v-sweep         i(Vmeas1)       v(W)           
 0.00000000e+00  4.91695573e-12  0.00000000e+00 
 1.00000000e-02  5.82645043e-12  1.00000000e-02 
 2.00000000e-02  7.30437932e-12  2.00000000e-02 
 3.00000000e-02  9.09494702e-12  3.00000000e-02 
 4.00000000e-02  1.13971055e-11  4.00000000e-02 
 5.00000000e-02  1.44098067e-11  5.00000000e-02 
 6.00000000e-02  1.84172677e-11  6.00000000e-02 
 7.00000000e-02  2.36468622e-11  7.00000000e-02 
 8.00000000e-02  3.05817593e-11  8.00000000e-02 
 9.00000000e-02  3.95630195e-11  9.00000000e-02 
 1.00000000e-01  5.13864507e-11  1.00000000e-01 
 1.10000000e-01  6.69899691e-11  1.10000000e-01 
 1.20000000e-01  8.73967565e-11  1.20000000e-01 
 1.30000000e-01  1.14170007e-10  1.30000000e-01 
 1.40000000e-01  1.49299240e-10  1.40000000e-01 
 1.50000000e-01  1.95342409e-10  1.50000000e-01 
 1.60000000e-01  2.55710120e-10  1.60000000e-01 
 1.70000000e-01  3.34921424e-10  1.70000000e-01 
 1.80000000e-01  4.38774350e-10  1.80000000e-01 
 1.90000000e-01  5.74857495e-10  1.90000000e-01 
 2.00000000e-01  7.53175300e-10  2.00000000e-01 
 2.10000000e-01  9.86887017e-10  2.10000000e-01 
 2.20000000e-01  1.29296041e-09  2.20000000e-01 
 2.30000000e-01  1.69367809e-09  2.30000000e-01 
 2.40000000e-01  2.21817231e-09  2.40000000e-01 
 2.50000000e-01  2.90447133e-09  2.50000000e-01 
 2.60000000e-01  3.80197207e-09  2.60000000e-01 
 2.70000000e-01  4.97504971e-09  2.70000000e-01 
 2.80000000e-01  6.50732090e-09  2.80000000e-01 
 2.90000000e-01  8.50752713e-09  2.90000000e-01 
 3.00000000e-01  1.11165548e-08  3.00000000e-01 
 3.10000000e-01  1.45167860e-08  3.10000000e-01 
 3.20000000e-01  1.89439788e-08  3.20000000e-01 
 3.30000000e-01  2.47020182e-08  3.30000000e-01 
 3.40000000e-01  3.21819869e-08  3.40000000e-01 
 3.50000000e-01  4.18862385e-08  3.50000000e-01 
 3.60000000e-01  5.44577006e-08  3.60000000e-01 
 3.70000000e-01  7.07178174e-08  3.70000000e-01 
 3.80000000e-01  9.17124225e-08  3.80000000e-01 
 3.90000000e-01  1.18769691e-07  3.90000000e-01 
 4.00000000e-01  1.53570682e-07  4.00000000e-01 
 4.10000000e-01  1.98237103e-07  4.10000000e-01 
 4.20000000e-01  2.55438579e-07  4.20000000e-01 
 4.30000000e-01  3.28524550e-07  4.30000000e-01 
 4.40000000e-01  4.21686025e-07  4.40000000e-01 
 4.50000000e-01  5.40154360e-07  4.50000000e-01 
 4.60000000e-01  6.90444040e-07  4.60000000e-01 
 4.70000000e-01  8.80649395e-07  4.70000000e-01 
 4.80000000e-01  1.12080389e-06  4.80000000e-01 
 4.90000000e-01  1.42330899e-06  4.90000000e-01 
 5.00000000e-01  1.80343744e-06  5.00000000e-01 
 5.10000000e-01  2.27990384e-06  5.10000000e-01 
 5.20000000e-01  2.87548502e-06  5.20000000e-01 
 5.30000000e-01  3.61765214e-06  5.30000000e-01 
 5.40000000e-01  4.53915499e-06  5.40000000e-01 
 5.50000000e-01  5.67847690e-06  5.50000000e-01 
 5.60000000e-01  7.08006090e-06  5.60000000e-01 
 5.70000000e-01  8.79420469e-06  5.70000000e-01 
 5.80000000e-01  1.08765375e-05  5.80000000e-01 
 5.90000000e-01  1.33870251e-05  5.90000000e-01 
